Player,Routes,YDS/RT,Open_Score,Catch_Score,Yac_Score,Overall_Score
Cooper Kupp,670,3.6,76,75,64,85
Mark Andrews,574,2.4,82,73,51,83
Kendrick Bourne,383,2.3,59,83,74,83
Davante Adams,501,3.3,85,72,49,83
Justin Jefferson,533,3,94,53,51,80
Ja'Marr Chase,672,2.7,61,64,84,79
A.J. Brown,321,3.1,99,36,53,78
Tyler Lockett,439,2.7,67,84,48,77
Stefon Diggs,602,2.1,93,52,46,77
George Kittle,380,2.7,70,66,64,77
Deonte Harty,181,3.1,81,44,67,74
Russell Gage,355,2.2,82,55,48,72
Antonio Brown,161,3.4,85,57,41,71
Adam Thielen,374,1.9,63,79,47,71
Hunter Renfrow,506,2.2,72,68,43,70
DK Metcalf,442,2.2,76,47,61,70
Dallas Goedert,319,2.9,57,68,65,70
Cedrick Wilson,357,1.9,57,68,63,70
Odell Beckham,462,1.8,86,52,40,69
Diontae Johnson,585,2,87,44,47,69
Amari Cooper,507,1.8,58,83,46,69
Mike Evans,618,2.1,72,60,49,68
Michael Pittman,469,2.3,59,74,51,68
Amon-Ra St. Brown,447,2,58,74,53,68
Tee Higgins,583,2.4,62,60,61,67
Jakobi Meyers,503,1.8,77,58,38,66
Dalton Schultz,503,1.8,62,68,48,66
Brandon Aiyuk,483,2,51,68,63,66
Travis Kelce,601,2.4,78,37,59,65
T.J. Hockenson,337,1.7,63,73,40,65
Tim Patrick,448,1.6,64,54,56,64
DeVonta Smith,466,2.1,51,64,65,64
DeAndre Hopkins,269,2.1,49,77,54,64
Tyreek Hill,587,2.6,75,41,52,63
Julio Jones,236,2.1,57,59,56,62
Dawson Knox,474,1.4,58,57,56,62
Mike Williams,534,2.1,54,55,62,61
Keenan Allen,581,2,72,57,36,61
Emmanuel Sanders,457,1.5,56,77,36,61
Deebo Samuel,460,3.4,48,31,99,61
Christian Kirk,476,2.2,57,76,37,61
CeeDee Lamb,523,2.1,58,45,70,61
Marquise Brown,589,1.7,75,39,50,60
D.J. Moore,543,2.1,77,34,51,60
Chris Godwin,464,2.4,47,66,59,60
Brandin Cooks,439,2.4,54,66,48,60
Tyler Boyd,613,1.5,58,56,52,59
Terry McLaurin,515,2,42,74,53,58
Jerry Jeudy,228,2,79,31,50,58
Zach Ertz,441,1.8,70,43,45,57
Marvin Jones,549,1.5,49,76,39,57
Kalif Raymond,406,1.4,54,53,55,57
Jarvis Landry,279,2,60,44,59,57
Gabe Davis,331,2.4,52,62,49,57
Zay Jones,383,1.6,63,54,40,56
Pat Freiermuth,343,1.5,38,69,60,56
Elijah Moore,275,2,70,33,55,56
Courtland Sutton,492,1.6,65,56,36,56
Rashod Bateman,382,1.3,44,68,50,55
Quez Watkins,366,1.9,43,59,61,55
Keelan Cole,293,1.5,44,60,57,54
K.J. Osborn,431,1.5,50,60,48,54
Mecole Hardman,405,2,51,35,72,53
Marquez Callaway,384,1.8,56,50,47,53
Hunter Henry,387,1.6,56,63,34,53
Rob Gronkowski,401,2.3,49,48,57,52
Jamison Crowder,338,1.3,48,47,60,52
Donovan Peoples-Jones,351,1.7,35,62,61,52
Nelson Agholor,388,1.3,39,59,56,50
Marquez Valdes-Scantling,264,1.6,48,50,53,50
Cole Beasley,475,1.6,66,41,38,50
Robert Woods,268,2.1,59,46,40,49
Noah Fant,390,1.7,45,60,44,49
Jaylen Waddle,520,2,50,52,43,48
Byron Pringle,425,1.5,44,53,50,48
Bryan Edwards,464,1.3,37,48,65,48
Gerald Everett,308,1.6,45,44,57,47
Braxton Berrios,219,2,39,60,47,47
A.J. Green,461,1.8,52,45,44,46
Michael Gallup,288,1.5,42,51,48,44
Darren Waller,377,2,52,39,45,44
Allen Lazard,387,1.3,41,59,39,44
Van Jefferson,603,1.5,43,43,49,42
Nick Westbrook-Ikhine,296,1.6,40,52,45,42
Kyle Pitts,457,2.2,31,57,49,41
Darnell Mooney,548,1.9,63,16,48,40
Allen Robinson,326,1.3,40,47,46,40
Adam Humphries,395,1,44,45,42,40
Tyler Johnson,393,1,35,43,54,39
Chase Claypool,461,1.9,51,32,45,39
Tyler Higbee,485,1.4,41,45,40,37
C.J. Uzomah,505,1.3,36,30,62,37
Ray-Ray McCloud,303,1,41,35,47,36
Nico Collins,319,1.4,32,45,50,36
Kenny Golladay,360,1.4,33,46,45,36
Corey Davis,253,1.9,26,43,62,36
Tyler Conklin,402,1.5,32,49,44,35
Mike Gesicki,485,1.6,34,56,34,35
DeVante Parker,315,1.6,23,55,45,34
Cole Kmet,429,1.4,45,26,44,33
Austin Hooper,255,1.4,39,35,44,33
Laviska Shenault,390,1.6,50,9,57,32
Jared Cook,439,1.3,47,17,48,31
Evan Engram,377,1.1,28,47,39,30
Olamide Zaccheaus,334,1.2,31,32,50,29
Cameron Brate,296,1,32,36,37,26
Zach Pascal,414,0.9,43,18,40,25
Darius Slayton,308,1.1,29,18,39,16
Robbie Anderson,552,0.9,37,0,40,12
