"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"177","Jehu Chesson (FA)","12","2","18","9.0","3","1.5","3","1.5","15","7.5","0","0.0","0","4","0.8%","3","1","0","1","0","0","0","0","10"
"178","Darius Powe (FA)","1","2","13","6.5","0","0.0","0","0.0","13","6.5","0","0.0","0","4","0.7%","2","0","0","0","0","0","0","0","8"
"179","Jeff Janis (FA)","16","2","12","6.0","12","6.0","12","6.0","0","0.0","0","0.0","0","5","0.9%","2","0","0","1","0","0","0","0","12"
"180","Cobi Hamilton (FA)","3","1","8","8.0","4","4.0","4","4.0","4","4.0","3","3.0","0","6","1.2%","1","0","0","0","0","0","0","0","8"
"181","Kevin White (FA)","1","2","6","3.0","4","2.0","4","2.0","2","1.0","2","1.0","1","4","0.9%","3","0","0","0","0","0","0","0","6"
"182","Cody Core (FA)","13","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","4","0.8%","0","0","0","0","0","0","0","0","0"
"183","Isaiah McKenzie (IND)","11","4","29","7.3","19","4.8","19","4.8","10","2.5","4","1.0","0","13","2.3%","4","0","1","1","0","0","0","0","14"
"184","Andre Roberts (FA)","16","1","12","12.0","5","5.0","5","5.0","7","7.0","0","0.0","0","4","0.9%","2","1","1","1","0","0","0","0","12"
""
""
