"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"108","Andre Holmes (FA)","14","13","120","9.2","109","8.4","109","8.4","11","0.8","3","0.2","0","23","4.9%","15","1","3","3","1","1","0","0","36"
"109","Terrelle Pryor Sr. (FA)","9","20","240","12.0","182","9.1","182","9.1","58","2.9","12","0.6","0","37","6.9%","22","2","3","10","3","1","1","0","44"
"110","Tavon Austin (FA)","16","13","47","3.6","-26","-2.0","-26","-2.0","73","5.6","23","1.8","0","22","0%","14","1","1","1","0","0","0","0","13"
"111","Mack Hollins (ATL)","16","16","226","14.1","183","11.4","183","11.4","43","2.7","8","0.5","0","22","4.0%","18","2","0","8","3","1","1","1","64"
"112","Russell Shepard (FA)","15","17","202","11.9","96","5.6","96","5.6","106","6.2","32","1.9","1","32","6.5%","21","3","2","10","1","1","1","0","40"
"113","Michael Campanaro (FA)","13","19","173","9.1","92","4.8","92","4.8","81","4.3","19","1.0","0","27","5.5%","22","3","1","9","0","0","0","0","18"
"114","De'Anthony Thomas (FA)","16","14","143","10.2","70","5.0","70","5.0","73","5.2","35","2.5","0","16","2.7%","14","0","1","5","2","1","1","1","57"
"115","Kendrick Bourne (NE)","11","16","257","16.1","143","8.9","143","8.9","114","7.1","41","2.6","1","34","5.7%","17","2","3","13","3","1","1","1","54"
"116","Jeremy Kerley (FA)","8","22","217","9.9","160","7.3","160","7.3","57","2.6","5","0.2","0","27","5.4%","22","0","1","9","2","2","0","0","31"
"117","Damiere Byrd (CAR)","8","10","105","10.5","44","4.4","44","4.4","61","6.1","30","3.0","0","17","3.5%","10","0","3","4","2","1","0","0","31"
"118","Alex Erickson (FA)","16","12","180","15.0","141","11.8","141","11.8","39","3.3","10","0.8","1","16","2.9%","12","0","0","8","3","1","0","0","37"
"119","Geronimo Allison (FA)","15","23","253","11.0","134","5.8","134","5.8","119","5.2","18","0.8","0","39","7.0%","26","3","0","7","1","1","1","1","72"
"120","Braxton Miller (FA)","11","19","162","8.5","101","5.3","101","5.3","61","3.2","21","1.1","0","29","5.6%","20","1","2","6","1","1","1","1","57"
"121","Demarcus Robinson (LAR)","16","21","212","10.1","165","7.9","165","7.9","47","2.2","3","0.1","0","39","7.4%","23","2","0","9","1","1","0","0","33"
"122","Phillip Dorsett II (LV)","15","12","194","16.2","103","8.6","103","8.6","91","7.6","11","0.9","0","18","3.1%","12","0","1","8","4","2","0","0","39"
"123","Laquon Treadwell (BAL)","16","20","200","10.0","142","7.1","142","7.1","58","2.9","8","0.4","0","35","6.7%","21","1","1","10","2","0","0","0","25"
"124","Eli Rogers (FA)","14","18","149","8.3","71","3.9","71","3.9","78","4.3","26","1.4","0","36","6.4%","21","2","4","6","0","0","0","0","18"
"125","Louis Murphy (FA)","7","8","121","15.1","82","10.3","82","10.3","39","4.9","7","0.9","0","17","2.8%","11","2","0","5","2","1","1","0","40"
"126","Curtis Samuel (WAS)","9","15","115","7.7","74","4.9","74","4.9","41","2.7","5","0.3","0","26","5.3%","17","1","0","4","2","0","0","0","23"
"127","Chris Conley (SF)","5","11","175","15.9","130","11.8","130","11.8","45","4.1","10","0.9","0","16","3.0%","11","0","0","8","3","1","0","0","35"
"128","Tommylee Lewis (FA)","15","10","116","11.6","64","6.4","64","6.4","52","5.2","20","2.0","1","15","2.8%","10","0","1","4","2","1","1","1","52"
"129","Josh Reynolds (DET)","16","11","104","9.5","70","6.4","70","6.4","34","3.1","0","0.0","0","24","0%","11","0","3","5","1","0","0","0","28"
"130","Jaydon Mickens (NYG)","10","6","77","12.8","38","6.3","38","6.3","39","6.5","11","1.8","0","11","2.3%","7","1","2","3","1","1","1","0","41"
"131","Brandon Marshall (FA)","5","18","154","8.6","115","6.4","115","6.4","39","2.2","32","1.8","0","33","5.5%","21","3","1","8","0","0","0","0","18"
"132","Tre McBride III (FA)","8","8","144","18.0","94","11.8","94","11.8","50","6.3","23","2.9","0","15","3.2%","9","0","0","5","3","1","1","0","45"
"133","Jordan Taylor (FA)","10","13","142","10.9","97","7.5","97","7.5","45","3.5","22","1.7","2","20","3.6%","13","0","0","4","2","1","0","0","30"
"134","Brandon Tate (FA)","13","6","81","13.5","44","7.3","44","7.3","37","6.2","2","0.3","0","14","2.8%","6","0","1","4","2","0","0","0","24"
"135","Kamar Aiken (FA)","15","15","133","8.9","86","5.7","86","5.7","47","3.1","17","1.1","3","44","9.3%","21","4","2","6","1","0","0","0","21"
"136","Brenton Bersin (FA)","8","8","128","16.0","112","14.0","112","14.0","16","2.0","0","0.0","0","14","2.8%","9","1","0","6","2","0","0","0","27"
"137","Josh Malone (FA)","11","6","63","10.5","44","7.3","44","7.3","19","3.2","4","0.7","0","17","3.5%","6","0","0","3","1","0","0","0","25"
"138","Maurice Harris (FA)","6","4","62","15.5","54","13.5","54","13.5","8","2.0","1","0.3","0","6","1.1%","4","0","0","2","1","1","0","0","36"
"139","Marvin Hall (FA)","8","2","60","30.0","60","30.0","60","30.0","0","0.0","0","0.0","0","9","1.7%","3","1","1","2","2","1","1","0","40"
"140","Hunter Sharp (FA)","3","5","54","10.8","31","6.2","31","6.2","23","4.6","4","0.8","0","9","1.6%","6","1","1","2","1","0","0","0","21"
"141","ArDarius Stewart (FA)","15","6","82","13.7","63","10.5","63","10.5","19","3.2","11","1.8","0","13","2.6%","7","1","0","2","2","1","1","0","46"
"142","Travis Rudolph (FA)","7","8","101","12.6","58","7.3","58","7.3","43","5.4","6","0.8","0","21","3.5%","10","2","0","4","1","0","0","0","29"
"143","Jaelen Strong (FA)","2","3","38","12.7","23","7.7","23","7.7","15","5.0","5","1.7","0","4","0.8%","3","0","1","2","0","0","0","0","19"
"144","Freddie Martino (FA)","8","5","96","19.2","81","16.2","81","16.2","15","3.0","32","6.4","1","6","1.0%","5","0","0","4","1","1","0","0","39"
"145","Mike Williams (LAC)","10","11","95","8.6","84","7.6","84","7.6","11","1.0","9","0.8","0","23","4.0%","13","2","1","3","1","0","0","0","20"
"146","Chad Hansen (FA)","15","9","94","10.4","72","8.0","72","8.0","22","2.4","10","1.1","0","17","3.4%","10","1","1","5","1","0","0","0","24"
"147","Mike Thomas (BAL)","8","5","93","18.6","64","12.8","64","12.8","29","5.8","7","1.4","0","7","0%","5","0","0","3","1","1","1","1","50"
"148","Kaelin Clay (FA)","13","6","85","14.2","65","10.8","65","10.8","20","3.3","6","1.0","0","20","4.1%","9","3","0","5","1","0","0","0","28"
"149","Kasen Williams (FA)","7","9","84","9.3","63","7.0","63","7.0","21","2.3","16","1.8","1","18","3.2%","10","1","1","4","0","0","0","0","14"
"150","Chris Thompson (FA)","13","5","84","16.8","54","10.8","54","10.8","30","6.0","2","0.4","0","6","1.2%","6","1","0","5","1","1","0","0","32"
"151","Trevor Davis (FA)","16","5","70","14.0","36","7.2","36","7.2","34","6.8","10","2.0","0","7","1.3%","5","0","0","2","2","0","0","0","29"
"152","Justin Hunter (FA)","7","4","23","5.8","9","2.3","9","2.3","14","3.5","0","0.0","0","10","1.7%","4","0","2","0","0","0","0","0","7"
"153","Michael Floyd (FA)","11","10","78","7.8","44","4.4","44","4.4","34","3.4","1","0.1","0","17","3.3%","11","1","0","2","0","0","0","0","19"
"154","Breshad Perriman (IND)","11","10","77","7.7","72","7.2","72","7.2","5","0.5","3","0.3","0","35","6.2%","14","4","2","2","0","0","0","0","14"
"155","Brian Quick (FA)","11","6","76","12.7","49","8.2","49","8.2","27","4.5","13","2.2","0","8","1.5%","6","0","1","3","1","1","0","0","31"
"156","Tanner McEvoy (FA)","15","5","113","22.6","94","18.8","94","18.8","19","3.8","6","1.2","1","9","1.7%","7","2","0","4","2","1","1","1","53"
"157","Willie Snead IV (SF)","11","8","92","11.5","60","7.5","60","7.5","32","4.0","15","1.9","0","16","3.0%","8","0","1","4","2","0","0","0","26"
"158","Amara Darboh (FA)","16","8","71","8.9","55","6.9","55","6.9","16","2.0","4","0.5","1","13","2.5%","9","0","1","3","0","0","0","0","16"
"159","Pharoh Cooper (FA)","16","11","84","7.6","30","2.7","30","2.7","54","4.9","3","0.3","0","19","4.0%","11","0","0","2","1","0","0","0","26"
"160","Sammie Coates (FA)","12","6","70","11.7","54","9.0","54","9.0","16","2.7","8","1.3","0","11","1.9%","6","0","0","3","1","1","0","0","38"
"161","Brittan Golden (FA)","13","5","70","14.0","21","4.2","21","4.2","49","9.8","2","0.4","0","9","1.5%","6","0","0","2","2","0","0","0","29"
"162","Leonte Carroo (FA)","14","7","69","9.9","58","8.3","58","8.3","11","1.6","4","0.6","0","14","2.4%","9","1","0","3","1","0","0","0","21"
"163","Bryce Treggs (FA)","6","5","79","15.8","76","15.2","76","15.2","3","0.6","0","0.0","0","18","3.2%","6","1","0","4","1","0","0","0","20"
"164","Chad Williams (FA)","6","3","31","10.3","25","8.3","25","8.3","6","2.0","3","1.0","0","7","1.2%","3","0","0","1","0","0","0","0","15"
"165","Markus Wheaton (FA)","11","3","51","17.0","48","16.0","48","16.0","3","1.0","3","1.0","0","17","3.6%","5","1","0","2","2","0","0","0","22"
