Player,Routes,YDS/RT,Open_Score,Catch_Score,Yac_Score,Overall_Score
Michael Thomas,553,3.2,93,77,57,94
A.J. Brown,395,2.8,80,53,97,92
Stefon Diggs,408,3,80,69,57,82
Terry McLaurin,387,2.4,73,72,58,79
Mike Evans,450,2.6,86,59,49,77
Chris Godwin,520,2.6,45,89,75,77
Diontae Johnson,356,1.9,91,45,51,74
DK Metcalf,541,2.1,61,66,67,73
DeAndre Hopkins,609,2.3,82,58,43,71
John Brown,498,2.2,76,62,45,70
Tyler Lockett,575,2.2,59,86,41,70
George Kittle,304,3.7,70,53,61,69
Preston Williams,235,1.8,69,57,58,69
Travis Kelce,572,2.5,65,68,50,68
Allen Robinson,538,2.1,55,85,41,67
Jared Cook,330,2.3,45,60,81,66
Kenny Golladay,523,2.3,45,82,55,65
D.J. Moore,521,2.3,65,57,54,65
Davante Adams,413,3.1,83,35,51,64
Mark Andrews,305,2.9,72,50,51,64
Adam Thielen,241,2.5,68,62,43,64
Kendrick Bourne,265,1.7,60,54,63,64
Calvin Ridley,452,1.9,56,73,42,62
Tyler Higbee,231,3.2,61,58,51,61
Amari Cooper,467,2.5,54,71,47,61
Keenan Allen,517,2.3,62,57,50,61
Marquise Brown,350,2,69,57,41,61
Darius Slayton,408,1.8,42,64,70,61
Darren Waller,411,2.8,60,57,51,60
Allen Lazard,276,1.9,70,54,38,60
Robbie Anderson,479,1.6,59,57,51,59
Julio Jones,501,2.8,62,45,58,58
James Washington,346,2.1,56,61,48,58
D.J. Chark,530,1.9,44,60,66,58
Michael Gallup,466,2.4,53,44,67,57
Marvin Jones,450,1.7,41,83,43,57
Kenny Stills,412,1.7,51,68,45,57
T.Y. Hilton,239,2.1,48,57,59,56
Austin Hooper,421,1.9,44,70,49,56
Jarvis Landry,469,2.5,45,62,56,55
Cooper Kupp,468,2.5,54,47,60,55
John Ross,223,2.3,56,35,68,55
Odell Beckham,472,2.2,57,44,58,55
Tyreek Hill,416,2.6,53,46,59,54
Deebo Samuel,373,2.5,52,37,69,54
DeVante Parker,583,2.1,40,67,54,54
Hunter Henry,340,1.9,46,66,47,54
Sterling Shepard,348,1.7,69,41,42,54
Chris Conley,521,1.5,57,33,68,54
Will Fuller,348,2.2,58,48,47,53
Zach Ertz,503,1.9,73,32,44,53
Cole Beasley,442,1.9,60,46,47,53
Emmanuel Sanders,490,1.9,49,63,41,52
Jamison Crowder,448,1.9,53,45,56,52
Robert Woods,509,2.2,48,51,55,51
Hunter Renfrow,250,2.4,55,33,59,49
Tyrell Williams,356,1.8,54,43,50,49
Christian Kirk,403,1.8,59,39,48,49
JuJu Smith-Schuster,315,1.8,49,49,50,49
Courtland Sutton,471,2.4,52,38,57,48
Corey Davis,406,1.6,36,34,84,48
Dallas Goedert,340,2,41,49,56,47
Gerald Everett,208,2,42,42,60,46
Alshon Jeffery,257,1.9,61,39,38,46
Breshad Perriman,396,1.6,48,64,27,46
Brandin Cooks,382,1.5,45,49,48,46
Mike Williams,463,2.2,18,80,51,45
Noah Fant,308,1.8,32,53,60,45
Alex Erickson,342,1.5,36,32,78,45
Willie Snead,333,1.2,46,39,56,45
Tyler Eifert,297,1.5,20,78,46,43
Jordan Akins,340,1.2,34,38,71,43
Eric Ebron,190,2,43,38,54,42
Zach Pascal,361,1.7,48,33,53,42
Randall Cobb,426,1.9,39,38,58,41
Albert Wilson,282,1.2,52,34,45,41
Ted Ginn,408,1.1,60,25,44,41
Tyler Boyd,556,1.9,38,34,63,40
Jason Witten,395,1.3,55,36,37,40
Phillip Dorsett,330,1.2,48,42,41,40
Julian Edelman,554,2.1,63,19,41,39
Kyle Rudolph,318,1.3,16,69,50,38
Golden Tate,357,1.9,28,26,78,37
Anthony Miller,405,1.6,52,33,37,37
Jacob Hollister,298,1.4,43,40,43,37
Evan Engram,242,1.9,41,30,53,36
Sammy Watkins,511,1.9,33,32,62,36
Larry Fitzgerald,457,1.8,19,63,48,36
Cameron Brate,252,1.2,29,57,40,36
Danny Amendola,397,1.7,43,37,40,35
Marquez Valdes-Scantling,271,1.7,38,34,50,35
Jimmy Graham,347,1.6,35,45,44,35
Auden Tate,359,1.6,20,54,52,34
Demarcus Robinson,465,1,39,34,44,32
Nelson Agholor,365,1,37,43,38,32
Russell Gage,334,1.3,45,29,39,31
Mike Gesicki,481,1.2,39,33,43,31
O.J. Howard,313,1.5,31,40,44,30
Jack Doyle,307,1.5,36,30,47,30
Darren Fells,337,1.2,30,40,46,30
Mohamed Sanu,448,1.2,31,44,37,29
Curtis Samuel,581,1.1,42,25,42,29
Greg Olsen,390,1.5,34,45,29,28
Dede Westbrook,485,1.4,35,25,45,26
T.J. Hockenson,252,1.5,25,32,51,25
Geronimo Allison,373,0.8,35,28,33,22
DaeSean Hamilton,346,0.9,30,24,43,21
Jarius Wright,462,0.6,30,16,40,16
