Player,Routes,YDS/RT,Open_Score,Catch_Score,Yac_Score,Overall_Score
Michael Thomas,542,3,80,94,60,96
Amari Cooper,528,2.2,72,69,67,81
Tyler Lockett,419,2.6,61,94,47,78
Mike Evans,592,2.6,71,80,49,78
DeAndre Hopkins,605,2.7,65,88,46,77
Keenan Allen,486,2.7,81,63,44,73
Chris Godwin,417,2,65,68,61,73
Stefon Diggs,494,2.1,63,70,59,72
Doug Baldwin,337,1.9,82,56,46,72
DeSean Jackson,325,2.4,89,38,52,70
Julio Jones,519,3.2,63,67,56,69
Davante Adams,559,2.5,74,54,50,68
Zach Ertz,543,2.3,73,67,38,68
Tyreek Hill,529,3,60,57,62,65
Travis Kelce,528,2.8,67,54,52,64
Adam Thielen,549,2.5,50,79,49,64
Alshon Jeffery,474,2.1,44,79,56,63
Marvin Jones,299,1.7,54,64,58,63
D.J. Moore,379,2.1,46,58,72,62
Kenny Golladay,457,2.3,37,79,60,61
Robbie Anderson,382,2,63,56,49,61
George Kittle,415,3.3,66,26,76,60
Calvin Ridley,415,2,70,43,52,60
Antonio Brown,556,2.3,60,51,56,59
Seth Roberts,316,1.6,70,44,49,59
Emmanuel Sanders,325,2.7,66,47,49,58
Josh Gordon,329,2.2,41,50,79,57
Mike Williams,374,2.1,36,78,55,57
Brandin Cooks,566,2.6,50,64,49,56
Kendrick Bourne,321,1.5,62,45,51,56
Anthony Miller,347,1.3,59,43,59,56
Allen Robinson,412,2.2,42,66,55,55
Jordan Reed,292,1.9,77,30,44,55
Curtis Samuel,263,1.9,53,52,53,55
Robert Woods,571,2.4,65,42,46,54
Demaryius Thomas,371,1.8,54,42,60,54
David Moore,287,1.6,51,53,55,54
Odell Beckham,421,2.5,67,43,39,53
A.J. Green,257,2.7,59,44,48,52
T.Y. Hilton,505,2.8,37,55,63,51
Tyler Boyd,441,2.3,33,70,54,51
Austin Hooper,433,1.5,29,84,44,51
Kenny Stills,371,1.5,30,59,68,50
Antonio Callaway,421,1.4,63,30,53,50
Zay Jones,480,1.4,57,40,53,50
Sammy Watkins,296,2.3,57,37,53,49
Mark Andrews,271,2.2,46,48,56,49
Evan Engram,275,2.1,47,42,62,49
Danny Amendola,346,1.7,56,52,37,49
Donte Moncrief,481,1.4,49,36,65,49
Dede Westbrook,489,1.5,49,43,56,48
Julian Edelman,491,2.5,73,20,43,47
Jarvis Landry,510,1.9,60,38,43,47
Larry Fitzgerald,397,1.8,24,77,50,47
Willie Snead,430,1.6,55,41,48,47
Taylor Gabriel,445,1.6,51,53,37,47
JuJu Smith-Schuster,564,2.5,50,42,48,46
Devin Funchess,352,1.6,58,34,48,46
Christian Kirk,274,2.2,46,42,53,45
Laquon Treadwell,319,0.9,52,36,52,45
Corey Davis,398,2.2,55,31,50,44
Christopher Herndon,264,1.9,29,59,56,44
Rob Gronkowski,428,2,42,48,48,43
Cole Beasley,465,1.5,41,60,35,43
Trey Burton,412,1.4,46,49,42,43
Josh Doctson,442,1.2,33,65,41,43
Quincy Enunwa,277,1.6,40,29,71,42
Courtland Sutton,432,1.6,44,45,44,41
Adam Humphries,523,1.6,48,31,53,41
Kyle Rudolph,439,1.4,20,70,49,41
Mohamed Sanu,505,1.7,30,45,62,40
Sterling Shepard,540,1.6,47,37,46,40
Michael Gallup,440,1.5,42,35,56,40
Michael Crabtree,495,1.3,62,28,36,40
Tyrell Williams,449,1.7,31,60,41,39
John Brown,473,1.5,57,15,54,39
Josh Reynolds,346,1.5,48,31,48,39
Jarius Wright,347,1.3,32,54,47,39
Jared Cook,411,2.2,33,41,57,38
Vance McDonald,311,2,17,50,66,37
Eric Ebron,461,1.8,59,16,45,37
Jordy Nelson,447,1.7,34,52,41,37
Antonio Gates,262,1.6,35,52,41,37
David Njoku,417,1.5,27,49,55,37
Marquez Valdes-Scantling,404,1.4,45,30,50,37
Chris Conley,449,0.7,38,29,60,37
Golden Tate,378,2.3,29,26,72,35
Chris Hogan,521,1.1,44,32,44,34
Nelson Agholor,557,1.4,27,42,53,33
Jermaine Kearse,339,1.1,48,22,44,33
C.J. Uzomah,379,1.2,13,63,47,32
Keelan Cole,414,1.2,48,27,36,31
Kelvin Benjamin,291,1.3,33,27,53,29
Chester Rogers,405,1.4,31,36,43,28
Jimmy Graham,463,1.4,26,36,51,28
Ricky Seals-Jones,295,1.2,36,27,46,28
John Ross,328,0.6,30,16,47,19
